Date,Open,High,Low,Close,Volume
20170410,80.1300,80.7600,79.9200,80.4200,3233500
20170411,79.4100,79.8800,78.2000,79.8800,5314800
20170412,78.4800,79.6800,78.2000,79.4800,6335000
20170413,77.8400,79.3300,77.8300,78.4700,4646600
20170417,78.7200,78.7500,78.1200,78.3000,4462400
20170418,79.6100,79.8400,78.3500,78.5100,4528900
20170419,79.3700,80.6600,79.2800,79.9600,4673700
20170420,80.7600,80.8900,79.5100,79.7200,3583100
20170421,79.8100,80.4100,79.2400,79.5800,6308400
20170424,81.0800,81.5100,80.8500,81.0200,5072700
